StartupID,StartupName,Founders,FoundedYear,City,Sector,FundingStage,FundingAmount,Status
1,Startup_1,Founder_380,2008,Mumbai,Technology,Series A,1744492,Active
2,Startup_2,Founder_347,2023,Delhi,Technology,Series C,12132899,Active
3,Startup_3,Founder_48,2006,Bangalore,FinTech,Seed,157127,Active
4,Startup_4,Founder_367,2020,Hyderabad,FinTech,Series C,24793519,Active
5,Startup_5,Founder_302,2008,Bangalore,Education,Series A,1664104,Active
6,Startup_6,Founder_175,2008,Bangalore,Technology,Series B,2857401,Active
7,Startup_7,Founder_195,2003,Mumbai,E-Commerce,Series B,8770682,Active
8,Startup_8,Founder_374,2014,Delhi,Technology,Series C,15288191,Acquired
9,Startup_9,Founder_151,2020,Hyderabad,E-Commerce,Series A,1677594,Active
10,Startup_10,Founder_24,2021,Bangalore,Education,Series B,2669343,Active
11,Startup_11,Founder_444,2003,Mumbai,E-Commerce,Series C,34483473,Active
12,Startup_12,Founder_190,2011,Bangalore,Healthcare,Series B,7887295,Closed
13,Startup_13,Founder_332,2002,Hyderabad,Healthcare,Series A,1320172,Closed
14,Startup_14,Founder_126,2005,Delhi,E-Commerce,Series B,9762743,Closed
15,Startup_15,Founder_353,2017,Bangalore,Healthcare,Series B,9070354,IPO
16,Startup_16,Founder_398,2001,Bangalore,Technology,Series B,5365214,Active
17,Startup_17,Founder_34,2006,Delhi,Education,Series B,3783640,Closed
18,Startup_18,Founder_256,2012,Hyderabad,FinTech,Series A,755493,Active
19,Startup_19,Founder_127,2023,Delhi,FinTech,Series B,8266406,Acquired
20,Startup_20,Founder_220,2018,Mumbai,E-Commerce,Series A,490102,Acquired
21,Startup_21,Founder_253,2002,Chennai,Technology,Seed,50066,Closed
22,Startup_22,Founder_82,2021,Mumbai,Healthcare,Seed,110864,Active
23,Startup_23,Founder_306,2014,Delhi,E-Commerce,Seed,188332,Closed
24,Startup_24,Founder_59,2021,Delhi,Education,Series B,8447473,Closed
25,Startup_25,Founder_175,2003,Mumbai,FinTech,Series A,1151527,Active
26,Startup_26,Founder_489,2023,Chennai,E-Commerce,Series A,1264685,Active
27,Startup_27,Founder_446,2020,Mumbai,Healthcare,Series A,520527,Active
28,Startup_28,Founder_391,2005,Delhi,Education,Seed,167009,Active
29,Startup_29,Founder_251,2000,Bangalore,E-Commerce,Series B,4008671,Active
30,Startup_30,Founder_124,2018,Bangalore,Technology,Series C,14644773,IPO
31,Startup_31,Founder_273,2004,Bangalore,Healthcare,Series C,46896694,Active
32,Startup_32,Founder_136,2016,Hyderabad,E-Commerce,Series A,1330985,IPO
33,Startup_33,Founder_374,2022,Bangalore,Education,Series B,5346989,Closed
34,Startup_34,Founder_333,2011,Delhi,FinTech,Series C,18120454,Active
35,Startup_35,Founder_116,2002,Mumbai,Technology,Series A,1434048,Active
36,Startup_36,Founder_4,2002,Chennai,Healthcare,Seed,70015,Active
37,Startup_37,Founder_464,2001,Mumbai,Technology,Series A,784009,Closed
38,Startup_38,Founder_249,2006,Delhi,Technology,Series C,26307268,Acquired
39,Startup_39,Founder_414,2013,Bangalore,Technology,Seed,182748,Active
40,Startup_40,Founder_182,2013,Mumbai,FinTech,Seed,186518,Closed
41,Startup_41,Founder_331,2003,Bangalore,E-Commerce,Series B,8715856,Active
42,Startup_42,Founder_128,2006,Bangalore,FinTech,Series C,19407474,Active
43,Startup_43,Founder_94,2008,Delhi,E-Commerce,Seed,126164,Acquired
44,Startup_44,Founder_51,2001,Hyderabad,FinTech,Seed,34448,IPO
45,Startup_45,Founder_435,2007,Bangalore,E-Commerce,Series C,42303416,Active
46,Startup_46,Founder_443,2012,Bangalore,Technology,Series C,10144644,Active
47,Startup_47,Founder_136,2014,Mumbai,E-Commerce,Series C,20388239,Active
48,Startup_48,Founder_152,2006,Bangalore,FinTech,Seed,92209,Active
49,Startup_49,Founder_26,2018,Delhi,FinTech,Series A,319285,Acquired
50,Startup_50,Founder_42,2005,Bangalore,Healthcare,Seed,187002,Active
51,Startup_51,Founder_207,2003,Delhi,E-Commerce,Seed,172367,Active
52,Startup_52,Founder_215,2021,Delhi,FinTech,Series B,9840884,Active
53,Startup_53,Founder_105,2021,Chennai,E-Commerce,Series A,757034,Active
54,Startup_54,Founder_68,2021,Hyderabad,E-Commerce,Series C,31218292,IPO
55,Startup_55,Founder_480,2002,Bangalore,FinTech,Seed,29204,Acquired
